leaf_id	category	source	country
CCIS76845094ST-20-0_filtered	eoCRC	stool	France
MMRS44197125ST-27-0-0_filtered	eoCRC	stool	USA
SAMD00114794_filtered	eoCRC	stool	Japan
SAMD00114805_filtered	eoCRC	stool	Japan
SZAXPI017584-108_filtered	eoCRC	stool	China
saliva_sweden	Reference_oral	saliva	Sweden
saliva_china	Reference_oral	saliva	China
saliva_ucla_1	Reference_oral	saliva	USA
saliva_ucla_2	Reference_oral	saliva	USA
gingival_pm79	Reference_oral	gingival_CRC	Spain
gingival_pm94	Reference_oral	gingival_CRC	Spain
stool_maternal_us	Reference_gut	maternal_stool	USA
colon_pm114_crc	Reference_gut	CRC_colon	Spain
colon_pm89_crc	Reference_gut	CRC_colon	Spain
colon_pm79_crc_1	Reference_gut	CRC_colon	Spain
colon_pm79_crc_2	Reference_gut	CRC_colon	Spain
colon_pm79_crc_3	Reference_gut	CRC_colon	Spain
